ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;13695865;4;1;0;0;1;1;1
0;0;811819699;7;3;0;0;0;0;1
0;0;352719890;11;3;1;0;0;0;1
0;0;769023154;1;1;0;0;0;0;2
0;0;264387157;1;3;0;0;0;0;1
0;0;917691389;5;1;0;0;0;0;2
0;0;222621469;11;1;1;0;0;0;1
0;0;393297090;10;2;0;0;0;0;2
0;0;433812508;8;2;0;0;0;0;1
0;0;244099558;2;1;0;0;0;0;2
0;0;285418711;1;1;0;0;0;1;1
0;0;80522103;2;2;0;0;0;0;4
0;0;32487202;7;2;0;0;0;0;1
0;0;313651475;1;1;0;0;0;0;1
0;0;428187089;1;1;0;0;0;0;4
0;0;390985673;1;2;0;0;0;0;2
0;0;125134947;2;2;0;0;0;0;1
0;0;980855540;1;3;0;0;0;0;2
0;0;346894088;1;1;0;0;0;0;3
0;0;305467075;2;3;0;0;0;0;2
0;0;909184163;3;3;0;0;0;0;1
0;0;905999766;3;1;0;0;0;0;1
0;0;673987251;7;1;0;0;1;0;1
0;0;744961590;5;2;1;0;1;0;1
0;0;941114855;3;3;0;0;0;0;3
0;0;503845139;3;1;0;0;0;0;2
0;0;353266543;2;2;1;0;1;0;2
0;0;101992706;3;1;1;0;0;1;1
0;0;335416082;3;2;0;0;0;0;2
0;0;144043907;4;1;0;0;0;0;1
0;0;862826375;2;3;0;0;0;0;5
0;0;651294933;1;1;0;1;1;0;3
0;0;999055724;3;3;1;0;0;0;4
0;0;571588541;5;3;0;0;0;0;2
0;0;640805790;4;2;1;0;0;0;1
0;0;703757187;1;1;0;0;0;0;3
0;0;59062453;1;1;0;0;1;0;4
0;0;777362917;11;1;0;0;0;0;1
0;0;905850713;3;3;0;0;0;0;3
0;0;795114984;2;1;0;1;0;0;1
0;0;275669547;11;1;0;0;0;0;2
0;0;976757167;7;3;0;0;0;0;1
0;0;883023799;7;1;1;0;0;0;1
0;0;198307303;2;2;0;0;1;0;1
0;0;416274258;1;1;0;0;0;0;1
0;0;645689202;1;1;0;0;0;0;1
0;0;988378925;5;1;1;0;0;0;1
0;0;530065569;1;1;0;0;0;0;1
0;0;397804053;3;1;0;0;0;0;1
